Project_ID,Project_Name,Sector,District,Contractor_ID,Contractor_Name,Project_Manager_ID,Project_Manager_Name,Contract_Value,Approved_Budget,Amount_Spent,Remaining_Budget,Financial_Progress,Planned_Start_Date,Actual_Start_Date,Planned_End_Date,Expected_End_Date,Actual_End_Date,Project_Duration_Days,Elapsed_Days,Remaining_Days,Planned_Progress,Actual_Progress,Schedule_Variance,Budget_Variance,Delay_Days,Status,Schedule_Status,Budget_Status,Risk_Level,Project_Health_Score,Health_Status,Priority,Latitude,Longitude,Last_Update,Notes
JED-PROJ-062,Southern Jeddah Al Hamdaniyah Public Building Rehabilitation,Buildings,Al Rehab,CONT-014,Desert Line Projects,PM-002,Mohammed Alqahtani,19663079,19416559,15005792,4410767,77.28,2025-10-10,2025-11-05,2026-11-01,2027-02-21,,387,302,171,84.75,65.49,-19.26,11.79,112,Delayed,Delayed,Watch,High,52.48,At Risk,Low,21.524567,39.221023,2026-08-29,Additional manpower assigned to recover schedule.
JED-PROJ-063,Eastern Jeddah Mishrifah Public Building Rehabilitation,Buildings,Al Samer,CONT-018,First Route Engineering,PM-009,Turki Almutairi,124715083,138147397,99421655,38725742,71.97,2025-11-01,2025-10-25,2027-08-16,2027-08-28,,653,313,359,46.86,53.12,6.26,18.85,0,In Progress,Ahead of Schedule,Over Budget,Low,78.27,Monitor,Medium,21.594141,39.246537,2026-08-27,Final handover documentation under preparation.
JED-PROJ-064,Western Jeddah Al Hamra Service Center Upgrade,Buildings,Al Andalus,CONT-009,Future Cities Construction,PM-001,Ahmed Alharbi,26096166,29026753,22081901,6944852,76.07,2025-03-23,2025-04-30,2026-03-22,2026-08-27,,364,491,0,100.0,87.32,-12.68,-11.25,158,Delayed,Delayed,Under Budget,High,63.66,At Risk,Medium,21.573608,39.148893,2026-08-30,
JED-PROJ-065,Central Jeddah Al Ajwad Administrative Complex Development,Buildings,Al Rawabi,CONT-001,Red Sea Infrastructure Ltd.,PM-002,Mohammed Alqahtani,20297765,20444359,21718407,-1274048,106.23,2024-09-16,2024-09-30,2025-08-30,2025-08-25,2025-09-14,348,349,0,100.0,100.0,0.0,6.23,15,Completed,Completed,Over Budget,Low,93.52,Healthy,Medium,21.512207,39.230012,2026-09-01,Contractor submitted recovery plan.
JED-PROJ-066,Corniche Al Rowais Administrative Complex Development,Buildings,Al Faisaliyah,CONT-003,Horizon Construction Group,PM-010,Bander Alghamdi,48329266,54847052,25531812,29315240,46.55,2025-10-05,2025-09-25,2028-01-14,2027-12-15,,831,343,468,40.07,50.8,10.73,-4.25,0,In Progress,Ahead of Schedule,On Budget,Low,90.06,Healthy,Medium,21.559694,39.195428,2026-08-30,Additional manpower assigned to recover schedule.
JED-PROJ-067,Airport District Al Zahra Service Center Upgrade,Buildings,Al Rehab,CONT-007,Western Projects Company,PM-012,Majed Alharbi,12762238,12549478,12253429,296049,97.64,2023-07-18,2023-08-24,2025-08-10,2025-09-04,2025-09-22,754,760,0,100.0,100.0,0.0,-2.36,43,Completed,Completed,On Budget,Low,97.23,Healthy,Low,21.532884,39.247121,2026-09-03,
JED-PROJ-068,Obhur Al Rehab Service Center Upgrade,Buildings,Al Rehab,CONT-008,Al Manar Contracting,PM-005,Khalid Alotaibi,114213733,116802070,45845298,70956772,39.25,2026-06-20,2026-06-18,2027-09-26,2027-10-04,,463,77,396,16.2,23.38,7.18,15.87,0,In Progress,Ahead of Schedule,Watch,Low,80.67,Monitor,Medium,21.536188,39.220846,2026-08-25,
JED-PROJ-069,Al Balad Al Rawabi Operations Facility Expansion,Buildings,Al Rehab,CONT-020,Prime Gulf Builders,PM-013,Hassan Alzahrani,10242198,11673696,10983058,690638,94.08,2024-08-04,2024-07-24,2026-06-15,2027-03-04,,680,771,182,99.0,69.82,-29.18,24.26,345,Delayed,Critical Delay,Over Budget,Critical,21.94,Critical,Medium,21.555888,39.209181,2026-08-30,Final handover documentation under preparation.
JED-PROJ-070,King Abdulaziz Road Al Naeem Municipal Building Renovation,Buildings,Al Rabwah,CONT-010,Saudi Infrastructure Solutions,PM-007,Yousef Alsubaie,210643770,212142580,0,212142580,0.0,2026-12-24,,2029-03-05,2029-03-05,,802,0,914,0.0,0.0,0.0,0.0,0,Not Started,On Track,On Budget,Low,99.5,Healthy,Low,21.559274,39.231542,2026-08-27,
JED-PROJ-071,Prince Majed Corridor Al Baghdadiyah Community Center Construction,Buildings,Al Waha,CONT-007,Western Projects Company,PM-004,Abdullah Alzahrani,103420619,112063269,37054073,75009196,33.07,2026-03-27,2026-04-13,2027-03-28,2027-10-23,,366,143,415,43.72,17.33,-26.39,15.74,71,On Hold,Critical Delay,Watch,Critical,34.64,Critical,Medium,21.584523,39.227737,2026-08-29,Variation order under evaluation.
JED-PROJ-072,Haramain Gateway Al Samer Municipal Building Renovation,Buildings,Al Rehab,CONT-007,Western Projects Company,PM-007,Yousef Alsubaie,15456386,17167908,6608361,10559547,38.49,2025-04-01,2025-03-23,2027-08-13,2028-08-12,,864,529,709,60.19,27.03,-33.16,11.46,384,Delayed,Critical Delay,Watch,Critical,27.78,Critical,High,21.558006,39.232263,2026-08-27,Contractor submitted recovery plan.
JED-PROJ-073,Northern Jeddah Al Sanabel Service Center Upgrade,Buildings,Al Faisaliyah,CONT-012,Madar Utilities & Build,PM-012,Majed Alharbi,8147759,7949499,5984027,1965472,75.28,2024-09-18,2024-09-21,2027-01-30,2027-01-03,,864,712,122,82.75,80.73,-2.02,-5.45,0,In Progress,On Track,On Budget,Low,91.0,Healthy,High,21.561928,39.195197,2026-08-31,Design revision under review.
JED-PROJ-074,Southern Jeddah Al Muhammadiyah Municipal Building Renovation,Buildings,Al Khalidiyah,CONT-015,Alpha Core Construction,PM-002,Mohammed Alqahtani,119346663,134740614,111734338,23006276,82.93,2025-11-08,2025-11-13,2026-11-23,2027-02-14,,380,294,164,78.68,61.61,-17.07,21.32,83,In Progress,Delayed,Over Budget,Critical,44.38,Critical,Medium,21.563903,39.127533,2026-08-25,Final handover documentation under preparation.
JED-PROJ-075,Eastern Jeddah Al Shati Operations Facility Expansion,Buildings,Al Rabwah,CONT-003,Horizon Construction Group,PM-011,Nawaf Alqahtani,83270826,93138919,13184901,79954018,14.16,2026-05-24,2026-05-07,2028-10-17,2028-11-11,,877,119,800,11.63,14.61,2.98,-0.45,0,In Progress,On Track,On Budget,Low,97.58,Healthy,Medium,21.557997,39.220116,2026-08-27,Coordination ongoing with traffic management authority.
JED-PROJ-076,Western Jeddah Al Aziziyah Service Center Upgrade,Buildings,Al Faisaliyah,CONT-004,Jeddah Urban Works Co.,PM-002,Mohammed Alqahtani,89613582,93788586,92882296,906290,99.03,2023-10-20,2023-11-27,2025-10-04,2025-09-23,2025-10-10,715,683,0,100.0,100.0,0.0,-0.97,6,Completed,Completed,On Budget,Low,98.57,Healthy,Medium,21.563345,39.207693,2026-08-29,Final handover documentation under preparation.
JED-PROJ-077,Central Jeddah Al Naseem Administrative Complex Development,Buildings,Al Faisaliyah,CONT-019,Modern Grid Contracting,PM-005,Khalid Alotaibi,103087169,118042522,117409296,633226,99.46,2024-05-14,2024-06-28,2025-07-21,2025-12-26,2025-12-24,433,544,0,100.0,100.0,0.0,-0.54,156,Completed,Completed,On Budget,Low,98.98,Healthy,Medium,21.564925,39.18526,2026-08-30,Project progressing according to plan.
JED-PROJ-078,Corniche Al Manar Operations Facility Expansion,Buildings,Al Ruwais,CONT-017,Vision Axis Developments,PM-004,Abdullah Alzahrani,10225037,10221500,4464626,5756874,43.68,2026-01-19,2026-02-08,2027-04-27,2027-07-01,,463,207,301,49.03,38.71,-10.32,4.97,65,In Progress,Delayed,On Budget,High,73.51,Monitor,High,21.535028,39.16924,2026-08-31,Awaiting utility relocation approval.
JED-PROJ-079,Airport District Al Balad Administrative Complex Development,Buildings,Al Rawdah,CONT-012,Madar Utilities & Build,PM-012,Majed Alharbi,26244689,25197738,21097840,4099898,83.73,2024-11-01,2024-12-11,2027-01-16,2027-03-03,,806,631,181,83.25,72.48,-10.77,11.25,46,In Progress,Delayed,Watch,Medium,69.25,At Risk,Medium,21.562174,39.150626,2026-08-25,Variation order under evaluation.
JED-PROJ-080,Obhur Al Khalidiyah Service Center Upgrade,Buildings,Al Rabwah,CONT-013,Blue Horizon Contractors,PM-001,Ahmed Alharbi,11745300,11835978,12069368,-233390,101.97,2023-04-11,2023-05-18,2025-03-06,2025-04-25,2025-04-28,695,711,0,100.0,100.0,0.0,1.97,53,Completed,Completed,Over Budget,Low,97.61,Healthy,Medium,21.547632,39.196254,2026-08-29,Design revision under review.
JED-PROJ-081,Al Balad Al Rawdah Water Channel Rehabilitation,Stormwater & Drainage,Al Naseem,CONT-013,Blue Horizon Contractors,PM-008,Omar Alshehri,321807978,354308342,328169681,26138661,92.62,2023-05-13,2023-06-27,2024-11-26,2024-12-27,2025-01-07,563,560,0,100.0,100.0,0.0,-7.38,42,Completed,Completed,On Budget,Low,92.42,Healthy,Strategic,21.528689,39.271374,2026-08-26,Contractor submitted recovery plan.
JED-PROJ-082,King Abdulaziz Road Mishrifah Runoff Management Improvement,Stormwater & Drainage,Al Samer,CONT-009,Future Cities Construction,PM-005,Khalid Alotaibi,148717948,145439639,74360013,71079626,51.13,2025-08-13,2025-08-13,2028-04-26,2028-04-30,,987,386,605,39.11,45.82,6.71,5.31,0,In Progress,Ahead of Schedule,On Budget,Low,91.05,Healthy,Low,21.590164,39.241185,2026-08-30,Contractor submitted recovery plan.
JED-PROJ-083,Prince Majed Corridor Al Hamra Drainage Capacity Enhancement,Stormwater & Drainage,Al Ajwad,CONT-010,Saudi Infrastructure Solutions,PM-013,Hassan Alzahrani,58023722,58966487,43386234,15580253,73.58,2025-12-04,2025-12-23,2027-03-21,2027-04-01,,472,254,210,57.84,62.88,5.04,10.7,0,In Progress,Ahead of Schedule,Watch,Low,86.71,Healthy,High,21.645601,39.264771,2026-08-25,Procurement of long-lead items in progress.
JED-PROJ-084,Haramain Gateway Al Ajwad Drainage Capacity Enhancement,Stormwater & Drainage,Al Sanabel,CONT-003,Horizon Construction Group,PM-008,Omar Alshehri,24540350,26177306,26289135,-111829,100.43,2024-12-13,2024-12-11,2026-05-31,2026-10-12,,534,631,39,100.0,89.43,-10.57,11.0,134,Delayed,Delayed,Over Budget,High,67.32,At Risk,High,21.403858,39.258057,2026-08-25,Contractor submitted recovery plan.
JED-PROJ-085,Northern Jeddah Al Rowais Water Channel Rehabilitation,Stormwater & Drainage,Al Hamra,CONT-006,Gulf Engineering & Construction,PM-006,Saad Alshammari,54420763,59381490,23324211,36057279,39.28,2025-12-05,2025-12-26,2028-05-14,2028-05-09,,891,251,614,30.53,29.82,-0.71,9.46,0,In Progress,On Track,Watch,Low,89.27,Healthy,Low,21.527324,39.161589,2026-08-30,Procurement of long-lead items in progress.
JED-PROJ-086,Southern Jeddah Al Zahra Drainage Capacity Enhancement,Stormwater & Drainage,Al Ajwad,CONT-013,Blue Horizon Contractors,PM-003,Fahad Alghamdi,56966137,57296613,27015926,30280687,47.15,2025-11-17,2025-12-05,2027-09-13,2027-09-23,,665,272,385,43.61,48.42,4.81,-1.27,0,In Progress,On Track,On Budget,Low,95.88,Healthy,Medium,21.655613,39.256998,2026-08-30,Additional manpower assigned to recover schedule.
JED-PROJ-087,Eastern Jeddah Al Bawadi Water Channel Rehabilitation,Stormwater & Drainage,Al Waha,CONT-006,Gulf Engineering & Construction,PM-007,Yousef Alsubaie,209399511,221678316,188035888,33642428,84.82,2025-07-17,2025-07-15,2027-08-20,2027-09-17,,764,415,379,54.06,46.54,-7.52,38.28,28,In Progress,Slightly Delayed,Over Budget,Medium,55.32,At Risk,Medium,21.602904,39.215415,2026-08-26,Additional manpower assigned to recover schedule.
JED-PROJ-088,Western Jeddah Al Waha Water Channel Rehabilitation,Stormwater & Drainage,Obhur,CONT-018,First Route Engineering,PM-011,Nawaf Alqahtani,155703040,152192651,141589869,10602782,93.03,2024-06-07,2024-06-17,2027-02-22,2027-03-01,,990,808,179,82.63,81.74,-0.89,11.29,0,In Progress,On Track,Watch,Low,87.22,Healthy,High,21.735891,39.118786,2026-09-01,
JED-PROJ-089,Central Jeddah Al Baghdadiyah Flood Mitigation Program,Stormwater & Drainage,Al Aziziyah,CONT-002,Al Binaa Contracting Co.,PM-006,Saad Alshammari,347776462,358690206,333390356,25299850,92.95,2022-12-08,2022-12-13,2025-04-03,2025-04-19,2025-04-24,847,863,0,100.0,100.0,0.0,-7.05,21,Completed,Completed,On Budget,Low,92.73,Healthy,Strategic,21.551674,39.246701,2026-08-31,Variation order under evaluation.
JED-PROJ-090,Corniche Al Samer Stormwater Drainage Upgrade,Stormwater & Drainage,Al Rawdah,CONT-009,Future Cities Construction,PM-010,Bander Alghamdi,91444614,103574371,76281584,27292787,73.65,2025-12-04,2025-12-06,2027-05-27,2027-04-24,,539,271,233,50.65,63.7,13.05,9.95,0,In Progress,Ahead of Schedule,Watch,Low,83.42,Monitor,Low,21.583637,39.173746,2026-09-03,
JED-PROJ-091,Airport District Al Muhammadiyah Stormwater Drainage Upgrade,Stormwater & Drainage,Al Samer,CONT-004,Jeddah Urban Works Co.,PM-010,Bander Alghamdi,29391082,28552265,19737917,8814348,69.13,2025-01-04,2025-02-11,2026-12-08,2027-06-14,,703,569,284,86.34,53.81,-32.53,15.32,188,Delayed,Critical Delay,Watch,Critical,25.09,Critical,Medium,21.582905,39.242169,2026-08-30,Final handover documentation under preparation.
JED-PROJ-092,Obhur Al Shati Runoff Management Improvement,Stormwater & Drainage,Al Waha,CONT-012,Madar Utilities & Build,PM-003,Fahad Alghamdi,198656793,202117878,103356554,98761324,51.14,2025-12-20,2025-12-22,2027-10-13,2027-10-18,,662,255,410,38.82,34.99,-3.83,16.15,0,In Progress,On Track,Watch,Low,77.79,Monitor,High,21.600093,39.21413,2026-09-01,Contractor submitted recovery plan.
JED-PROJ-093,Al Balad Al Aziziyah Runoff Management Improvement,Stormwater & Drainage,Al Ajwad,CONT-006,Gulf Engineering & Construction,PM-004,Abdullah Alzahrani,231505788,220246741,228101005,-7854264,103.57,2023-11-15,2023-12-22,2025-12-06,2025-12-20,2025-12-25,752,734,0,100.0,100.0,0.0,3.57,19,Completed,Completed,Over Budget,Low,96.07,Healthy,High,21.645533,39.252482,2026-09-03,Coordination ongoing with traffic management authority.
JED-PROJ-094,King Abdulaziz Road Al Naseem Stormwater Drainage Upgrade,Stormwater & Drainage,Al Naseem,CONT-005,Arabian Development Contractors,PM-001,Ahmed Alharbi,121804083,119604711,26662198,92942513,22.29,2025-09-21,2025-10-10,2028-08-18,2029-05-16,,1062,328,986,32.67,10.38,-22.29,11.91,54,On Hold,Critical Delay,Watch,Critical,44.96,Critical,Medium,21.519379,39.279509,2026-08-29,Project progressing according to plan.
JED-PROJ-095,Prince Majed Corridor Al Thaghr Drainage Capacity Enhancement,Stormwater & Drainage,Al Manar,CONT-006,Gulf Engineering & Construction,PM-014,Tariq Alotaibi,239219105,263492693,225860224,37632469,85.72,2024-03-12,2024-03-19,2027-01-16,2027-01-24,,1040,898,143,87.02,84.6,-2.42,1.12,0,In Progress,On Track,On Budget,Low,94.5,Healthy,Medium,21.537812,39.258823,2026-09-03,Variation order under evaluation.
JED-PROJ-096,Haramain Gateway Prince Fawaz Stormwater Drainage Upgrade,Stormwater & Drainage,Al Rawabi,CONT-014,Desert Line Projects,PM-004,Abdullah Alzahrani,98022690,104349107,99430532,4918575,95.29,2024-09-22,2024-10-13,2026-02-17,2026-07-15,2026-07-24,513,649,0,100.0,100.0,0.0,-4.71,157,Completed,Completed,On Budget,Low,94.98,Healthy,Medium,21.483274,39.235457,2026-09-03,Contractor submitted recovery plan.
JED-PROJ-097,Northern Jeddah Al Marwah Stormwater Drainage Upgrade,Stormwater & Drainage,Al Manar,CONT-005,Arabian Development Contractors,PM-014,Tariq Alotaibi,107591790,112041754,100261861,11779893,89.49,2025-05-17,2025-06-25,2026-07-10,2026-09-25,,419,435,22,99.0,79.79,-19.21,9.7,77,In Progress,Delayed,Watch,High,54.57,At Risk,Medium,21.53663,39.249159,2026-09-02,Variation order under evaluation.
JED-PROJ-098,Southern Jeddah Al Balad Drainage Network Expansion,Stormwater & Drainage,Al Salamah,CONT-008,Al Manar Contracting,PM-001,Ahmed Alharbi,79196628,90856546,94720896,-3864350,104.25,2024-03-12,2024-03-28,2026-07-03,2026-08-04,2026-08-04,843,859,0,100.0,100.0,0.0,4.25,32,Completed,Completed,Over Budget,Low,95.42,Healthy,Low,21.614252,39.157496,2026-08-28,Contractor submitted recovery plan.
JED-PROJ-099,Eastern Jeddah Al Safa Runoff Management Improvement,Stormwater & Drainage,Al Kandarah,CONT-004,Jeddah Urban Works Co.,PM-009,Turki Almutairi,21705231,22250664,24005251,-1754587,107.89,2022-03-07,2022-03-04,2025-01-29,2025-04-02,2025-04-08,1059,1131,0,100.0,100.0,0.0,7.89,69,Completed,Completed,Over Budget,Low,91.93,Healthy,Medium,21.486584,39.206064,2026-09-03,
JED-PROJ-100,Western Jeddah Al Khalidiyah Drainage Network Expansion,Stormwater & Drainage,Al Sanabel,CONT-016,Nesma Urban Contracting,PM-007,Yousef Alsubaie,28304516,30701908,22738760,7963148,74.06,2025-04-27,2025-05-25,2027-10-31,2027-10-11,,917,466,403,53.87,58.51,4.64,15.55,0,In Progress,On Track,Watch,Low,82.25,Monitor,Low,21.406558,39.241418,2026-08-28,Procurement of long-lead items in progress.
JED-PROJ-101,Central Jeddah Al Rawdah Distribution Network Enhancement,Utilities,Al Zahra,CONT-002,Al Binaa Contracting Co.,PM-010,Bander Alghamdi,13248772,13224040,8065232,5158808,60.99,2026-02-26,2026-02-10,2026-12-31,2027-09-02,,308,205,364,61.36,36.91,-24.45,24.08,245,Delayed,Critical Delay,Over Budget,Critical,29.77,Critical,Medium,21.605938,39.125166,2026-08-30,Awaiting utility relocation approval.
JED-PROJ-102,Corniche Mishrifah Service Diversion Project,Utilities,Al Waha,CONT-011,Corniche Civil Works,PM-012,Majed Alharbi,89079119,94913353,36373188,58540165,38.32,2026-03-06,2026-03-24,2027-09-25,2027-11-16,,568,163,439,31.87,22.94,-8.93,15.38,52,In Progress,Slightly Delayed,Watch,Medium,68.27,At Risk,Medium,21.5973,39.238349,2026-09-01,Coordination ongoing with traffic management authority.
JED-PROJ-103,Airport District Al Jamiah Underground Utility Development,Utilities,Al Thaghr,CONT-005,Arabian Development Contractors,PM-011,Nawaf Alqahtani,32300774,33887522,34996847,-1109325,103.27,2025-03-10,2025-04-07,2026-10-23,2026-10-08,,592,514,35,91.55,95.74,4.19,7.53,0,In Progress,On Track,Over Budget,Low,90.18,Healthy,High,21.470365,39.229603,2026-08-31,Additional manpower assigned to recover schedule.
JED-PROJ-104,Obhur Al Ajwad Service Diversion Project,Utilities,Al Bawadi,CONT-010,Saudi Infrastructure Solutions,PM-002,Mohammed Alqahtani,59551697,66171180,64989829,1181351,98.21,2024-03-13,2024-04-14,2025-01-06,2025-02-08,2025-02-20,299,312,0,100.0,100.0,0.0,-1.79,45,Completed,Completed,On Budget,Low,97.78,Healthy,High,21.589889,39.166479,2026-08-27,Design revision under review.
JED-PROJ-105,Al Balad Al Rowais Water & Sewer Infrastructure Renewal,Utilities,Al Aziziyah,CONT-005,Arabian Development Contractors,PM-001,Ahmed Alharbi,209271995,200965430,11835759,189129671,5.89,2027-08-23,,2029-05-10,2029-05-10,,626,0,980,0.0,0.0,0.0,5.89,0,Not Started,On Track,On Budget,Low,93.85,Healthy,High,21.52662,39.253405,2026-08-25,Final handover documentation under preparation.
JED-PROJ-106,King Abdulaziz Road Obhur Distribution Network Enhancement,Utilities,Al Aziziyah,CONT-015,Alpha Core Construction,PM-011,Nawaf Alqahtani,26315234,27522546,20070063,7452483,72.92,2026-01-31,2026-01-12,2027-09-03,2027-08-11,,580,234,342,37.07,41.61,4.54,31.31,0,In Progress,On Track,Over Budget,Medium,65.23,At Risk,Medium,21.532733,39.244594,2026-08-31,Project progressing according to plan.
JED-PROJ-107,Prince Majed Corridor Al Zahra Utility Network Upgrade,Utilities,Al Waha,CONT-001,Red Sea Infrastructure Ltd.,PM-005,Khalid Alotaibi,43709472,48303459,37920605,10382854,78.5,2024-08-04,2024-08-29,2026-04-25,2026-08-07,,629,735,0,100.0,84.73,-15.27,-6.23,104,In Progress,Delayed,On Budget,High,64.28,At Risk,Medium,21.60623,39.246231,2026-08-29,Design revision under review.
JED-PROJ-108,Haramain Gateway Al Rehab Underground Utility Development,Utilities,Al Thaghr,CONT-017,Vision Axis Developments,PM-013,Hassan Alzahrani,129645565,145568240,32759510,112808730,22.5,2026-06-27,2026-07-10,2027-07-21,2027-09-06,,389,55,368,17.48,12.08,-5.4,10.42,47,In Progress,Slightly Delayed,Watch,Medium,78.75,Monitor,Medium,21.464674,39.255668,2026-08-27,Variation order under evaluation.
JED-PROJ-109,Northern Jeddah Al Rawabi Substation Access Improvement,Utilities,Al Naseem,CONT-005,Arabian Development Contractors,PM-014,Tariq Alotaibi,24670152,24706302,22190639,2515663,89.82,2025-02-18,2025-03-28,2027-02-28,2027-03-15,,740,524,193,75.95,71.92,-4.03,17.9,0,In Progress,On Track,Watch,Low,75.79,Monitor,High,21.535017,39.279574,2026-09-03,Variation order under evaluation.
JED-PROJ-110,Southern Jeddah Al Waha Distribution Network Enhancement,Utilities,Al Marwah,CONT-003,Horizon Construction Group,PM-005,Khalid Alotaibi,15292834,17419113,19221118,-1802005,110.34,2025-12-22,2025-12-02,2026-10-07,2026-10-25,,289,275,52,88.24,95.18,6.94,15.16,0,In Progress,Ahead of Schedule,Over Budget,Low,81.48,Monitor,High,21.615416,39.19466,2026-08-25,Contractor submitted recovery plan.
JED-PROJ-111,Eastern Jeddah Al Samer Underground Utility Development,Utilities,Al Marwah,CONT-011,Corniche Civil Works,PM-005,Khalid Alotaibi,29891968,28436901,6723418,21713483,23.64,2026-06-23,2026-06-05,2028-04-14,2028-03-27,,661,90,571,10.89,8.0,-2.89,15.64,0,In Progress,On Track,Watch,Low,79.8,Monitor,Medium,21.614501,39.233347,2026-09-01,
JED-PROJ-112,Western Jeddah Al Sanabel Underground Utility Development,Utilities,Al Khalidiyah,CONT-016,Nesma Urban Contracting,PM-001,Ahmed Alharbi,19940141,19536941,18590837,946104,95.16,2025-04-08,2025-04-20,2026-06-18,2026-09-18,,436,501,15,99.0,82.89,-16.11,12.27,92,In Progress,Delayed,Watch,High,57.12,At Risk,High,21.568101,39.133199,2026-09-02,Coordination ongoing with traffic management authority.
JED-PROJ-113,Central Jeddah Al Kandarah Underground Utility Development,Utilities,Al Rawdah,CONT-012,Madar Utilities & Build,PM-002,Mohammed Alqahtani,224380986,217357884,196241936,21115948,90.29,2025-06-14,2025-07-24,2027-03-04,2027-04-19,,628,406,228,71.02,57.49,-13.53,32.8,46,In Progress,Delayed,Over Budget,High,43.08,Critical,Medium,21.584184,39.175849,2026-08-26,
JED-PROJ-114,Corniche Al Shati Utility Network Upgrade,Utilities,Al Thaghr,CONT-012,Madar Utilities & Build,PM-009,Turki Almutairi,152992861,159892848,19698347,140194501,12.32,2026-10-21,,2027-08-04,2027-08-04,,287,0,335,0.0,0.0,0.0,12.32,0,Not Started,On Track,Watch,Low,87.67,Healthy,Medium,21.470549,39.247957,2026-09-01,Design revision under review.
JED-PROJ-115,Airport District Al Naseem Underground Utility Development,Utilities,Al Aziziyah,CONT-011,Corniche Civil Works,PM-012,Majed Alharbi,88239468,94187445,21437558,72749887,22.76,2026-04-18,2026-05-06,2028-01-25,2028-04-09,,647,120,584,21.33,6.56,-14.77,16.2,75,In Progress,Delayed,Watch,High,55.52,At Risk,Medium,21.550631,39.252782,2026-09-02,Variation order under evaluation.
JED-PROJ-116,Obhur Al Faisaliyah Utility Network Upgrade,Utilities,Al Samer,CONT-008,Al Manar Contracting,PM-008,Omar Alshehri,186775154,179442228,90384286,89057942,50.37,2025-11-10,2025-10-30,2027-09-28,2027-10-12,,687,308,404,43.23,44.32,1.09,6.05,0,In Progress,On Track,On Budget,Low,93.15,Healthy,Medium,21.593828,39.244476,2026-08-27,Contractor submitted recovery plan.
JED-PROJ-117,Al Balad Al Manar Neighborhood Services Improvement,Public Facilities,Prince Fawaz,CONT-014,Desert Line Projects,PM-004,Abdullah Alzahrani,92315018,105075591,14066585,91009006,13.39,2026-04-01,2026-04-29,2027-06-06,2027-10-08,,431,127,400,35.96,16.75,-19.21,-3.36,124,Delayed,Delayed,On Budget,High,60.65,At Risk,Medium,21.404554,39.241143,2026-08-29,
JED-PROJ-118,King Abdulaziz Road Prince Fawaz Emergency Services Facility Enhancement,Public Facilities,Al Jamiah,CONT-008,Al Manar Contracting,PM-003,Fahad Alghamdi,11317170,11757942,10738274,1019668,91.33,2025-03-07,2025-02-28,2026-10-27,2027-02-20,,599,552,170,93.75,77.67,-16.08,13.66,116,Delayed,Delayed,Watch,High,55.84,At Risk,Medium,21.477489,39.239515,2026-08-28,
JED-PROJ-119,Prince Majed Corridor Al Balad Neighborhood Services Improvement,Public Facilities,Al Rehab,CONT-001,Red Sea Infrastructure Ltd.,PM-014,Tariq Alotaibi,124901921,138120769,135485027,2635742,98.09,2023-06-08,2023-06-19,2025-01-09,2025-03-03,2025-03-14,581,634,0,100.0,100.0,0.0,-1.91,64,Completed,Completed,On Budget,Low,97.67,Healthy,High,21.533841,39.225697,2026-09-02,
JED-PROJ-120,Haramain Gateway Al Khalidiyah Neighborhood Services Improvement,Public Facilities,Al Rehab,CONT-007,Western Projects Company,PM-002,Mohammed Alqahtani,37568611,37942436,18326116,19616320,48.3,2025-09-16,2025-10-12,2027-05-19,2027-12-25,,610,326,478,57.7,25.95,-31.75,22.35,292,Delayed,Critical Delay,Over Budget,Critical,19.61,Critical,Medium,21.545327,39.239379,2026-08-29,Contractor submitted recovery plan.
JED-PROJ-121,Northern Jeddah Al Hamdaniyah Sports Facility Rehabilitation,Public Facilities,Prince Fawaz,CONT-012,Madar Utilities & Build,PM-001,Ahmed Alharbi,93505739,91376136,42258771,49117365,46.25,2026-03-25,2026-05-05,2027-04-03,2027-07-07,,374,121,307,43.32,32.81,-10.51,13.44,95,In Progress,Delayed,Watch,High,65.07,At Risk,Medium,21.407727,39.240546,2026-08-28,Design revision under review.
JED-PROJ-122,Southern Jeddah Al Rawdah Public Facilities Upgrade,Public Facilities,Prince Fawaz,CONT-001,Red Sea Infrastructure Ltd.,PM-006,Saad Alshammari,126411550,125142379,139967392,-14825013,111.85,2024-04-04,2024-04-07,2026-03-25,2026-07-07,,720,879,0,100.0,82.11,-17.89,29.74,104,In Progress,Delayed,Over Budget,Critical,34.97,Critical,Medium,21.40149,39.261303,2026-08-28,Coordination ongoing with traffic management authority.
JED-PROJ-123,Eastern Jeddah Al Jamiah Emergency Services Facility Enhancement,Public Facilities,Al Jamiah,CONT-004,Jeddah Urban Works Co.,PM-012,Majed Alharbi,17696238,17667999,17944846,-276847,101.57,2024-08-30,2024-10-03,2026-02-28,2026-03-28,2026-03-25,547,538,0,100.0,100.0,0.0,1.57,25,Completed,Completed,Over Budget,Low,97.99,Healthy,Medium,21.475237,39.245634,2026-08-28,Variation order under evaluation.
JED-PROJ-124,Western Jeddah Al Rabwah Public Facilities Upgrade,Public Facilities,Al Jamiah,CONT-003,Horizon Construction Group,PM-004,Abdullah Alzahrani,8723912,9511916,2408313,7103603,25.32,2026-01-19,2026-01-09,2027-10-06,2028-03-04,,625,237,548,36.32,23.36,-12.96,1.96,164,On Hold,Delayed,On Budget,High,72.12,Monitor,Low,21.480389,39.222583,2026-08-29,Project progressing according to plan.
